,param_classifier,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,model
0,RandomForestClassifier(),{'classifier': RandomForestClassifier()},0.1442,2,0.9976,0.6498,4,0.9995,-0.3013,4,-0.0004,binary_relevance
1,MultinomialNB(),{'classifier': MultinomialNB()},0.1324,3,0.2169,0.6507,3,0.7115,-0.3013,3,-0.2478,binary_relevance
2,KNeighborsClassifier(),{'classifier': KNeighborsClassifier()},0.0939,5,0.258,0.6085,5,0.7385,-0.3305,5,-0.2225,binary_relevance
3,LinearSVC(),{'classifier': LinearSVC()},0.1323,4,0.254,0.6557,2,0.7442,-0.2988,2,-0.2211,binary_relevance
4,SVC(),{'classifier': SVC()},0.1445,1,0.4543,0.6602,1,0.8406,-0.2916,1,-0.1376,binary_relevance
5,DecisionTreeClassifier(),{'classifier': DecisionTreeClassifier()},0.0768,6,0.9976,0.5798,6,0.9995,-0.3647,6,-0.0004,binary_relevance

,param_classifier,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,model
0,RandomForestClassifier(),{'classifier': RandomForestClassifier()},0.1442,2,0.9976,0.6498,4,0.9995,-0.3013,4,-0.0004,binary_relevance
1,MultinomialNB(),{'classifier': MultinomialNB()},0.1324,3,0.2169,0.6507,3,0.7115,-0.3013,3,-0.2478,binary_relevance
2,KNeighborsClassifier(),{'classifier': KNeighborsClassifier()},0.0939,5,0.258,0.6085,5,0.7385,-0.3305,5,-0.2225,binary_relevance
3,LinearSVC(),{'classifier': LinearSVC()},0.1323,4,0.254,0.6557,2,0.7442,-0.2988,2,-0.2211,binary_relevance
4,SVC(),{'classifier': SVC()},0.1445,1,0.4543,0.6602,1,0.8406,-0.2916,1,-0.1376,binary_relevance
5,DecisionTreeClassifier(),{'classifier': DecisionTreeClassifier()},0.0768,6,0.9976,0.5798,6,0.9995,-0.3647,6,-0.0004,binary_relevance

,param_classifier,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,model
0,RandomForestClassifier(),{'classifier': RandomForestClassifier()},0.1344,3,0.9976,0.6592,2,0.9995,-0.3022,2,-0.0004,classifier_chains
1,MultinomialNB(),{'classifier': MultinomialNB()},0.1226,4,0.2276,0.6458,3,0.7144,-0.3202,3,-0.2568,classifier_chains
2,KNeighborsClassifier(),{'classifier': KNeighborsClassifier()},0.1084,5,0.2457,0.6078,5,0.7288,-0.3329,5,-0.2307,classifier_chains
3,LinearSVC(),{'classifier': LinearSVC()},0.1394,2,0.278,0.638,4,0.7401,-0.3225,4,-0.2303,classifier_chains
4,SVC(),{'classifier': SVC()},0.1684,1,0.5069,0.6724,1,0.8499,-0.2925,1,-0.1323,classifier_chains
5,DecisionTreeClassifier(),{'classifier': DecisionTreeClassifier()},0.1057,6,0.9976,0.5852,6,0.9995,-0.3545,6,-0.0004,classifier_chains

