,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc,mean_test_average_precision,rank_test_average_precision,mean_train_average_precision,mean_test_label_ranking_average_precision_score,rank_test_label_ranking_average_precision_score,mean_train_label_ranking_average_precision_score
0,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,,2,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",0.1253,44,0.1413,0.6469,21,0.6661,0.7732,56,0.7981,0.6907,49,0.7144,0.7868,57,0.8012
1,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,,4,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",0.1323,24,0.1688,0.6524,7,0.6804,0.7831,28,0.8111,0.6895,53,0.7358,0.7873,53,0.809
2,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,,8,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",0.1035,86,0.1597,0.6338,59,0.6757,0.7807,38,0.8159,0.6924,46,0.7477,0.7899,41,0.81
3,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,,16,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",0.1181,65,0.1576,0.6377,49,0.6708,0.7866,9,0.8175,0.7037,19,0.7516,0.7919,27,0.8049
4,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,,32,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",0.1277,34,0.1699,0.6365,51,0.6724,0.7871,7,0.8186,0.7023,25,0.7527,0.7913,31,0.8055
5,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,,64,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.1182,62,0.164,0.6273,73,0.6727,0.787,8,0.8203,0.7074,7,0.7565,0.7904,38,0.8062
6,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,0.25,2,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.0962,96,0.1335,0.6118,93,0.6507,0.7497,97,0.7839,0.6516,95,0.6944,0.7627,91,0.7945
7,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,0.25,4,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.1374,10,0.1482,0.6267,75,0.6574,0.7628,79,0.7944,0.661,88,0.7141,0.7755,81,0.7974
8,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,0.25,8,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.135,19,0.1482,0.643,31,0.6698,0.7812,35,0.8053,0.7009,30,0.7273,0.7897,43,0.8036
9,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,0.25,16,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.1011,90,0.1539,0.6331,61,0.6723,0.7826,30,0.8118,0.7018,27,0.7423,0.7924,26,0.8062
10,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,0.25,32,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.118,66,0.1597,0.6346,58,0.6689,0.7838,23,0.8152,0.7038,17,0.7455,0.7898,42,0.805
11,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,0.25,64,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1157,70,0.1605,0.6321,66,0.6701,0.7853,15,0.817,0.7021,26,0.7518,0.787,55,0.8039
12,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,0.5,2,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.1206,56,0.1408,0.6331,62,0.6579,0.77,67,0.7902,0.6881,56,0.7063,0.7806,74,0.7969
13,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,0.5,4,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.1374,10,0.1485,0.6402,41,0.6698,0.7778,49,0.806,0.6893,54,0.7321,0.7894,45,0.8065
14,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,0.5,8,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.1205,58,0.1584,0.6389,45,0.6726,0.785,17,0.8136,0.7073,8,0.7429,0.7953,15,0.8104
15,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,0.5,16,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.1203,61,0.1597,0.6383,48,0.672,0.7845,20,0.8157,0.6952,44,0.7478,0.7913,30,0.8062
16,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,0.5,32,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1301,28,0.1675,0.6272,74,0.6737,0.7856,14,0.819,0.7017,28,0.7524,0.7905,36,0.8076
17,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,0.5,64,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1231,49,0.1621,0.6324,65,0.6706,0.7864,10,0.8189,0.7061,11,0.7546,0.791,34,0.8052
18,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,0.75,2,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.1082,79,0.1464,0.6226,78,0.6663,0.7626,80,0.7959,0.6845,66,0.7125,0.7823,71,0.8
19,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,0.75,4,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",0.1373,14,0.152,0.6328,64,0.6688,0.7688,73,0.806,0.6811,73,0.7307,0.7857,59,0.8043
20,"RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32)",2,0.75,8,"{'classifier': RandomForestClassifier(max_depth=8, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",0.1107,74,0.1643,0.6296,71,0.6752,0.7845,21,0.8129,0.7027,22,0.7437,0.7925,25,0.8075
