,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_label_ranking_loss,rank_test_label_ranking_loss,mean_train_label_ranking_loss
0,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",-0.3153,82,-0.2816,-0.2222,61,-0.1991
1,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",-0.2931,4,-0.2735,-0.2208,59,-0.1914
2,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",-0.2961,16,-0.2667,-0.2082,16,-0.1894
3,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",-0.3024,44,-0.2698,-0.2161,45,-0.1895
4,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",-0.3028,46,-0.269,-0.2108,30,-0.1882
5,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",-0.302,39,-0.2681,-0.2086,17,-0.1892
6,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",-0.3221,94,-0.2954,-0.2348,78,-0.2108
7,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",-0.3168,86,-0.2852,-0.2401,83,-0.2038
8,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",-0.298,25,-0.2774,-0.2128,37,-0.1938
9,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",-0.3092,68,-0.2753,-0.22,57,-0.1917
10,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",-0.306,62,-0.2719,-0.2115,32,-0.1884
11,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",-0.2992,31,-0.273,-0.2098,24,-0.1901
12,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",-0.3164,84,-0.2849,-0.22,56,-0.2002
13,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",-0.3043,54,-0.2781,-0.2192,53,-0.1941
14,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",-0.3044,55,-0.2736,-0.2108,29,-0.1901
15,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",-0.2952,10,-0.2717,-0.2079,15,-0.1898
16,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",-0.3035,48,-0.2708,-0.2128,36,-0.1923
17,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",-0.2988,28,-0.2704,-0.2087,19,-0.1912
18,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",-0.2972,22,-0.2801,-0.2165,49,-0.1914
19,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",-0.2959,15,-0.2778,-0.207,12,-0.194
20,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",-0.2988,29,-0.2709,-0.2129,38,-0.1914
21,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",2,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",-0.2993,32,-0.2724,-0.2102,27,-0.1912
