,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_precision,rank_test_precision,mean_train_precision
0,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",0.13,31,0.1517,0.6415,41,0.6728,-0.3099,75,-0.2811,0.6429,99,0.6751
1,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",0.1301,29,0.1589,0.6437,36,0.6682,-0.294,15,-0.2735,0.6758,4,0.7002
2,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",0.1134,75,0.1587,0.6487,16,0.6725,-0.2924,9,-0.2714,0.6751,6,0.7001
3,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",0.1277,39,0.1613,0.6428,37,0.6716,-0.2924,8,-0.2711,0.6795,1,0.7024
4,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",0.1229,52,0.1624,0.6306,71,0.6708,-0.3012,48,-0.2703,0.6705,18,0.7058
5,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.1351,17,0.1661,0.6369,56,0.6728,-0.2976,27,-0.2686,0.6746,8,0.7077
6,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.101,89,0.1229,0.6052,97,0.6454,-0.3372,110,-0.3008,0.6112,141,0.655
7,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.1203,62,0.1426,0.6326,65,0.6713,-0.3077,72,-0.2783,0.6532,73,0.6832
8,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.1178,68,0.1528,0.633,63,0.6658,-0.304,60,-0.2793,0.6607,50,0.6865
9,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.1278,37,0.1616,0.6486,17,0.678,-0.298,33,-0.2712,0.6618,43,0.694
10,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.1276,42,0.1667,0.6381,54,0.6686,-0.2992,39,-0.2723,0.6675,26,0.7028
11,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1323,25,0.1557,0.638,55,0.668,-0.2976,28,-0.2746,0.6696,20,0.6969
12,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.1104,82,0.1416,0.6262,78,0.6694,-0.3174,86,-0.2836,0.6325,119,0.673
13,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.1203,63,0.1504,0.6446,33,0.6724,-0.2984,34,-0.2773,0.6618,44,0.6846
14,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.1131,76,0.164,0.6441,34,0.675,-0.2945,17,-0.2715,0.6713,14,0.6966
15,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.1301,29,0.1677,0.6401,48,0.6764,-0.298,32,-0.2682,0.6703,19,0.7043
16,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1255,43,0.164,0.6366,57,0.6692,-0.2963,22,-0.2712,0.6768,3,0.7051
17,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32)",2,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1229,53,0.1611,0.6343,61,0.6716,-0.2996,42,-0.2697,0.6712,15,0.7061
