,param_classifier,param_classifier__C,param_classifier__gamma,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_precision,rank_test_precision,mean_train_precision
0,"SVC(C=1000.0, gamma=0.0001)",0.0001,0.0001,"{'classifier': SVC(C=1000.0, gamma=0.0001), 'classifier__C': 0.0001, 'classifier__gamma': 0.0001}",0.1108,15,0.1346,0.5935,22,0.612,-0.3224,16,-0.3073,0.6565,13,0.6721
1,"SVC(C=1000.0, gamma=0.0001)",0.0001,0.001,"{'classifier': SVC(C=1000.0, gamma=0.0001), 'classifier__C': 0.0001, 'classifier__gamma': 0.001}",0.1108,15,0.1346,0.5935,22,0.612,-0.3224,16,-0.3073,0.6565,13,0.6721
2,"SVC(C=1000.0, gamma=0.0001)",0.0001,0.01,"{'classifier': SVC(C=1000.0, gamma=0.0001), 'classifier__C': 0.0001, 'classifier__gamma': 0.01}",0.1108,15,0.1346,0.5935,22,0.612,-0.3224,16,-0.3073,0.6565,13,0.6721
3,"SVC(C=1000.0, gamma=0.0001)",0.0001,0.1,"{'classifier': SVC(C=1000.0, gamma=0.0001), 'classifier__C': 0.0001, 'classifier__gamma': 0.1}",0.1108,15,0.1346,0.5935,22,0.612,-0.3224,16,-0.3073,0.6565,13,0.6721
4,"SVC(C=1000.0, gamma=0.0001)",0.0001,1.0,"{'classifier': SVC(C=1000.0, gamma=0.0001), 'classifier__C': 0.0001, 'classifier__gamma': 1.0}",0.1108,15,0.1346,0.5935,22,0.612,-0.3224,16,-0.3073,0.6565,13,0.6721
5,"SVC(C=1000.0, gamma=0.0001)",0.0001,10.0,"{'classifier': SVC(C=1000.0, gamma=0.0001), 'classifier__C': 0.0001, 'classifier__gamma': 10.0}",0.1108,15,0.1346,0.5935,22,0.612,-0.3224,16,-0.3073,0.6565,13,0.6721
6,"SVC(C=1000.0, gamma=0.0001)",0.0001,100.0,"{'classifier': SVC(C=1000.0, gamma=0.0001), 'classifier__C': 0.0001, 'classifier__gamma': 100.0}",0.1108,15,0.1346,0.5935,22,0.612,-0.3224,16,-0.3073,0.6565,13,0.6721
7,"SVC(C=1000.0, gamma=0.0001)",0.0001,1000.0,"{'classifier': SVC(C=1000.0, gamma=0.0001), 'classifier__C': 0.0001, 'classifier__gamma': 1000.0}",0.1108,15,0.1346,0.5935,22,0.612,-0.3224,16,-0.3073,0.6565,13,0.6721
8,"SVC(C=1000.0, gamma=0.0001)",0.0001,10000.0,"{'classifier': SVC(C=1000.0, gamma=0.0001), 'classifier__C': 0.0001, 'classifier__gamma': 10000.0}",0.1108,15,0.1346,0.5935,22,0.612,-0.3224,16,-0.3073,0.6565,13,0.6721
9,"SVC(C=1000.0, gamma=0.0001)",0.001,0.0001,"{'classifier': SVC(C=1000.0, gamma=0.0001), 'classifier__C': 0.001, 'classifier__gamma': 0.0001}",0.1108,15,0.1346,0.5935,22,0.612,-0.3224,16,-0.3073,0.6565,13,0.6721
